randomise_blocks,trial_number,display,Image,ITI_duration,Pause_duration,event,probeImageLeft,probeImageRight,correctAnswer,featureProbe,background
NaN,0,instructionsExperiment,,0,0,,,,0,0,gray
NaN,0,fixation,,0,0,,,,0,0,gray
NaN,1,learningTrial,D_5_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,C_4_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_2_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_3_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_1_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_5_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,C_4_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_2_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_3_set4.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,1,probeTrial,B_1_set4.png,0,0,finish,D_5_set4.png,A_5_set4.png,2,1,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,101,inferenceTrial,B_3_set4.png,0,0,finish,A_1_set4.png,D_1_set4.png,1,1,gray
NaN,0,ITI,,1750,0,,,,0,0,gray
NaN,2,learningTrial,A_5_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,B_4_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_2_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,A_3_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_5_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_4_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_6_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_2_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_3_set4.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,2,probeTrial,B_2_set4.png,0,0,finish,D_3_set4.png,A_3_set4.png,2,1,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,102,inferenceTrial,A_2_set4.png,0,0,finish,B_5_set4.png,B_3_set4.png,2,2,gray
NaN,0,ITI,,1500,0,,,,0,0,gray
NaN,3,learningTrial,D_5_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_4_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_6_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_2_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_3_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,A_5_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_4_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_2_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,A_3_set4.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,3,probeTrial,A_5_set4.png,0,0,finish,C_4_set4.png,C_2_set4.png,1,2,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,103,inferenceTrial,C_3_set4.png,0,0,finish,A_4_set4.png,A_1_set4.png,2,2,gray
NaN,0,ITI,,1400,0,,,,0,0,gray
NaN,4,learningTrial,A_5_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_4_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_2_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_3_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_1_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_5_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_4_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_6_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,C_2_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,D_3_set4.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,C_1_set4.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,4,probeTrial,C_4_set4.png,0,0,finish,D_6_set4.png,D_3_set4.png,1,2,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,104,inferenceTrial,D_2_set4.png,0,0,finish,B_3_set4.png,C_3_set4.png,2,1,gray
