randomise_blocks,trial_number,display,Image,ITI_duration,Pause_duration,event,probeImageLeft,probeImageRight,correctAnswer,featureProbe,background
NaN,0,instructionsExperiment,,0,0,,,,0,0,gray
NaN,0,fixation,,0,0,,,,0,0,gray
NaN,1,learningTrial,C_3_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_5_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
NaN,1,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,1,probeTrial,A_5_set2.png,0,0,finish,C_3_set2.png,B_3_set2.png,2,1,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,101,inferenceTrial,A_1_set2.png,0,0,finish,C_5_set2.png,B_5_set2.png,2,1,gray
NaN,0,ITI,,1100,0,,,,0,0,gray
NaN,2,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_3_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
NaN,2,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,2,probeTrial,C_3_set2.png,0,0,finish,D_6_set2.png,A_6_set2.png,1,1,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,102,inferenceTrial,D_1_set2.png,0,0,finish,B_5_set2.png,B_6_set2.png,1,2,gray
NaN,0,ITI,,1000,0,,,,0,0,gray
NaN,3,learningTrial,C_3_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,C_1_set2.png,0,0,finish,,,0,0,gray
NaN,3,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,3,probeTrial,B_3_set2.png,0,0,finish,D_4_set2.png,D_6_set2.png,2,2,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,103,inferenceTrial,B_6_set2.png,0,0,finish,D_1_set2.png,D_2_set2.png,2,2,gray
NaN,0,ITI,,1550,0,,,,0,0,gray
NaN,4,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_6_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_2_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_4_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,A_5_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_3_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,D_6_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,C_2_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,D_4_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,B_1_set2.png,0,0,finish,,,0,0,gray
NaN,4,learningTrial,D_5_set2.png,0,0,finish,,,0,0,gray
NaN,0,PreProbeInterval,,0,0,,,,0,0,gray
NaN,4,probeTrial,D_5_set2.png,0,0,finish,C_3_set2.png,C_2_set2.png,1,2,gray
NaN,0,IPI,,0,0,,,,0,0,gray
NaN,104,inferenceTrial,A_2_set2.png,0,0,finish,B_4_set2.png,C_4_set2.png,1,1,gray
